Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,ENTG7,8,48,47,1,97.92
unique marker genes,CBGRC,19,184,168,16,91.3
unique marker genes,MEINH14,7,72,70,2,97.22
unique marker genes,TECHO,17,7,7,0,100.0
unique marker genes,ABC,131,17,9,8,52.94
unique marker genes,OBNBL4,6,40,40,0,100.0
unique marker genes,TEGLU15,208,17,3,14,17.65
unique marker genes,MEINH7,102,26,18,8,69.23
unique marker genes,TEINH2,401,37,2,35,5.41
unique marker genes,HYPEP6,9,30,29,1,96.67
unique marker genes,DEINH2,154,16,6,10,37.5
unique marker genes,MGL2,7,92,86,6,93.48
unique marker genes,TEINH21,323,27,6,21,22.22
unique marker genes,DEGLU2,382,57,10,47,17.54
unique marker genes,MSN6,45,43,31,12,72.09
unique marker genes,HBSER3,23,10,9,1,90.0
unique marker genes,MEINH3,197,20,5,15,25.0
unique marker genes,SCINH9,23,35,32,3,91.43
unique marker genes,SCGLU9,38,38,30,8,78.95
unique marker genes,TEGLU12,355,15,1,14,6.67
unique marker genes,SCGLU3,109,26,21,5,80.77
unique marker genes,SCINH6,45,22,19,3,86.36
unique marker genes,HBGLU3,361,13,3,10,23.08
unique marker genes,TEINH17,765,16,3,13,18.75
unique marker genes,PSPEP7,9,21,21,0,100.0
unique marker genes,HBINH3,553,23,6,17,26.09
unique marker genes,HBINH9,566,12,1,11,8.33
unique marker genes,DECHO1,11,18,17,1,94.44
unique marker genes,SEPNBL,7,22,22,0,100.0
unique marker genes,TEINH10,42,63,45,18,71.43
unique marker genes,SCINH1,32,67,56,11,83.58
unique marker genes,TEINH5,46,23,13,10,56.52
unique marker genes,HBGLU6,185,52,10,42,19.23
unique marker genes,CHOR,12,53,48,5,90.57
unique marker genes,OPC,211,65,19,46,29.23
unique marker genes,TEINH16,25,37,26,11,70.27
unique marker genes,TEGLU8,1305,95,3,92,3.16
unique marker genes,MEINH2,579,49,3,46,6.12
unique marker genes,ACBG,64,59,46,13,77.97
unique marker genes,MSN3,19,48,44,4,91.67
unique marker genes,NFOL1,27,92,73,19,79.35
unique marker genes,ACTE2,780,105,14,91,13.33
unique marker genes,DEGLU4,34,13,10,3,76.92
unique marker genes,MGL1,19,114,105,9,92.11
unique marker genes,MEGLU11,131,12,6,6,50.0
unique marker genes,PSPEP1,25,29,22,7,75.86
unique marker genes,SCGLU10,30,40,32,8,80.0
unique marker genes,TEGLU13,45,18,15,3,83.33
unique marker genes,CBNBL1,16,35,33,2,94.29
unique marker genes,HBGLU5,418,14,1,13,7.14
unique marker genes,SCGLU7,13,94,84,10,89.36
unique marker genes,TEINH6,13,23,19,4,82.61
unique marker genes,ACTE1,1028,117,10,107,8.55
unique marker genes,SYNOR3,13,94,86,8,91.49
unique marker genes,DGGRC1,66,45,22,23,48.89
unique marker genes,MEGLU1,138,23,7,16,30.43
unique marker genes,ACNT1,1268,140,20,120,14.29
unique marker genes,PSNP4,8,25,23,2,92.0
unique marker genes,DEGLU3,376,68,5,63,7.35
unique marker genes,SCINH3,37,31,28,3,90.32
unique marker genes,TEGLU21,53,7,5,2,71.43
unique marker genes,OBINH2,24,59,47,12,79.66
unique marker genes,HBSER5,18,18,15,3,83.33
unique marker genes,HBSER4,27,22,19,3,86.36
unique marker genes,VECA,11,23,18,5,78.26
unique marker genes,HBINH1,25,124,104,20,83.87
unique marker genes,MBCHO1,10,16,15,1,93.75
unique marker genes,PER3,6,29,28,1,96.55
unique marker genes,SCINH4,9,53,51,2,96.23
unique marker genes,OBINH4,11,34,32,2,94.12
unique marker genes,CR,8,19,16,3,84.21
unique marker genes,DEGLU1,165,101,23,78,22.77
unique marker genes,TEGLU2,313,15,2,13,13.33
unique marker genes,HBCHO4,12,10,9,1,90.0
unique marker genes,TEGLU4,1976,48,2,46,4.17
unique marker genes,TEINH20,20,13,10,3,76.92
unique marker genes,MEINH11,31,12,10,2,83.33
unique marker genes,HBNOR,6,71,71,0,100.0
unique marker genes,MEGLU14,36,19,17,2,89.47
unique marker genes,OBDOP1,43,30,24,6,80.0
unique marker genes,VSMCA,28,86,75,11,87.21
unique marker genes,SCGLU5,80,30,21,9,70.0
unique marker genes,HBGLU2,617,17,1,16,5.88
unique marker genes,TEGLU10,322,63,6,57,9.52
unique marker genes,MEGLU8,708,8,1,7,12.5
unique marker genes,SZNBL,13,94,80,14,85.11
unique marker genes,COP2,64,25,16,9,64.0
unique marker genes,VLMC2,1202,39,10,29,25.64
unique marker genes,HBADR,11,23,23,0,100.0
unique marker genes,MEINH1,22,100,91,9,91.0
unique marker genes,SCINH11,16,46,42,4,91.3
unique marker genes,TEINH15,251,33,6,27,18.18
unique marker genes,OEC,87,98,62,36,63.27
unique marker genes,OBNBL1,56,13,8,5,61.54
unique marker genes,SCGLU6,41,23,19,4,82.61
unique marker genes,ACOB,161,43,15,28,34.88
unique marker genes,MEINH9,73,17,9,8,52.94
unique marker genes,TEGLU20,299,19,3,16,15.79
unique marker genes,TEGLU16,86,12,7,5,58.33
unique marker genes,MFOL2,104,83,36,47,43.37
unique marker genes,SCINH7,12,22,22,0,100.0
unique marker genes,SCINH2,389,15,3,12,20.0
unique marker genes,HBGLU7,283,52,3,49,5.77
unique marker genes,PSNF2,53,38,24,14,63.16
unique marker genes,HBSER2,17,27,24,3,88.89
unique marker genes,PSNP6,10,78,71,7,91.03
unique marker genes,TEGLU14,36,17,13,4,76.47
unique marker genes,TEINH4,337,30,1,29,3.33
unique marker genes,TEGLU18,567,61,4,57,6.56
unique marker genes,MEINH13,80,7,5,2,71.43
unique marker genes,TEINH19,276,60,7,53,11.67
unique marker genes,PSPEP8,49,27,22,5,81.48
unique marker genes,TEGLU5,44,19,11,8,57.89
unique marker genes,TEINH8,32,36,30,6,83.33
unique marker genes,PSPEP2,42,19,11,8,57.89
unique marker genes,SCINH10,91,28,20,8,71.43
unique marker genes,MBDOP2,228,5,1,4,20.0
unique marker genes,MEGLU7,170,10,6,4,60.0
unique marker genes,PSNF1,8,30,28,2,93.33
unique marker genes,MEGLU10,59,15,11,4,73.33
unique marker genes,HBGLU1,94,11,6,5,54.55
unique marker genes,COP1,32,73,54,19,73.97
unique marker genes,MEINH4,140,7,3,4,42.86
unique marker genes,DEGLU5,522,17,2,15,11.76
