Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,HYPEP8,32,81,61,20,75.31
unique marker genes,VLMC1,595,46,7,39,15.22
unique marker genes,SCINH9,13,35,34,1,97.14
unique marker genes,MOL2,351,137,26,111,18.98
unique marker genes,OBINH1,43,26,14,12,53.85
unique marker genes,PER1,399,103,18,85,17.48
unique marker genes,HBGLU3,11,13,13,0,100.0
unique marker genes,HBINH6,23,15,10,5,66.67
unique marker genes,OBINH5,53,37,24,13,64.86
unique marker genes,SYNOR1,17,36,29,7,80.56
unique marker genes,DEGLU3,30,68,43,25,63.24
unique marker genes,SCINH2,7,15,14,1,93.33
unique marker genes,HBGLU4,188,92,27,65,29.35
unique marker genes,HYPEP7,22,74,56,18,75.68
unique marker genes,MSN6,27,43,25,18,58.14
unique marker genes,TEGLU2,170,15,7,8,46.67
unique marker genes,TEGLU21,109,7,4,3,57.14
unique marker genes,SCGLU4,29,20,19,1,95.0
unique marker genes,MEINH13,8,7,7,0,100.0
unique marker genes,SYNOR2,24,27,20,7,74.07
unique marker genes,TEINH3,9,22,19,3,86.36
unique marker genes,SEPNBL,19,22,19,3,86.36
unique marker genes,DEINH8,37,29,12,17,41.38
unique marker genes,COP2,463,25,3,22,12.0
unique marker genes,TEINH6,10,23,22,1,95.65
unique marker genes,VSMCA,792,86,6,80,6.98
unique marker genes,OBINH2,87,59,25,34,42.37
unique marker genes,TEGLU15,81,17,7,10,41.18
unique marker genes,TEGLU3,339,73,10,63,13.7
unique marker genes,ACTE2,1508,105,2,103,1.9
unique marker genes,EPSC,340,48,4,44,8.33
unique marker genes,ACOB,459,43,3,40,6.98
unique marker genes,MEGLU9,12,8,7,1,87.5
unique marker genes,TEINH13,18,17,10,7,58.82
unique marker genes,HBSER4,24,22,18,4,81.82
unique marker genes,ENT8,48,18,6,12,33.33
unique marker genes,MEINH11,9,12,11,1,91.67
unique marker genes,HBINH5,41,62,40,22,64.52
unique marker genes,TEGLU23,380,34,7,27,20.59
unique marker genes,ACMB,790,39,2,37,5.13
unique marker genes,PSNF2,122,38,20,18,52.63
unique marker genes,PSNP4,40,25,20,5,80.0
unique marker genes,NFOL1,271,92,24,68,26.09
unique marker genes,VECC,278,57,10,47,17.54
unique marker genes,PER2,172,56,21,35,37.5
unique marker genes,TEGLU4,221,48,5,43,10.42
unique marker genes,MFOL1,411,124,20,104,16.13
unique marker genes,CR,15,19,15,4,78.95
unique marker genes,TEGLU13,105,18,7,11,38.89
unique marker genes,TEGLU12,184,15,2,13,13.33
unique marker genes,SCINH4,15,53,48,5,90.57
unique marker genes,HBGLU9,78,20,11,9,55.0
unique marker genes,TEGLU11,240,76,12,64,15.79
unique marker genes,SYNOR5,11,30,27,3,90.0
unique marker genes,CBPC,521,90,7,83,7.78
unique marker genes,PSNP1,28,42,29,13,69.05
unique marker genes,DGNBL1,70,22,10,12,45.45
unique marker genes,TEGLU8,549,95,6,89,6.32
unique marker genes,HBCHO4,56,10,7,3,70.0
unique marker genes,DEINH6,121,127,44,83,34.65
unique marker genes,SYCHO1,18,46,36,10,78.26
unique marker genes,SCINH6,29,22,17,5,77.27
unique marker genes,VLMC2,888,39,9,30,23.08
unique marker genes,TEGLU1,116,8,3,5,37.5
unique marker genes,PSPEP8,14,27,23,4,85.19
unique marker genes,MFOL2,328,83,15,68,18.07
unique marker genes,TECHO,8,7,6,1,85.71
unique marker genes,TEGLU20,93,19,4,15,21.05
unique marker genes,MEGLU4,10,10,10,0,100.0
unique marker genes,PSPEP4,11,21,19,2,90.48
unique marker genes,MEINH8,24,30,27,3,90.0
unique marker genes,TEGLU6,136,22,5,17,22.73
unique marker genes,TEGLU16,145,12,1,11,8.33
unique marker genes,ENTG6,58,47,28,19,59.57
unique marker genes,HBCHO1,90,82,41,41,50.0
unique marker genes,CBNBL1,22,35,25,10,71.43
unique marker genes,ENMFB,339,23,5,18,21.74
unique marker genes,HBINH7,79,51,35,16,68.63
unique marker genes,MGL1,2907,114,4,110,3.51
unique marker genes,TEINH7,36,25,20,5,80.0
unique marker genes,OEC,565,98,7,91,7.14
unique marker genes,TEINH9,90,27,13,14,48.15
unique marker genes,DGGRC2,1021,73,7,66,9.59
unique marker genes,HYPEN,115,35,9,26,25.71
unique marker genes,MSN3,174,48,9,39,18.75
unique marker genes,CBINH2,50,102,58,44,56.86
unique marker genes,SCGLU1,6,44,41,3,93.18
unique marker genes,DETPH,400,136,14,122,10.29
unique marker genes,ENT4,9,25,22,3,88.0
unique marker genes,ENT6,23,24,16,8,66.67
unique marker genes,HBNOR,27,71,58,13,81.69
unique marker genes,HBSER2,27,27,22,5,81.48
unique marker genes,TEGLU22,209,44,9,35,20.45
unique marker genes,TEGLU24,732,62,3,59,4.84
unique marker genes,HBADR,14,23,18,5,78.26
unique marker genes,MEINH4,6,7,6,1,85.71
unique marker genes,HYPEP3,7,14,12,2,85.71
unique marker genes,DEINH4,25,19,17,2,89.47
unique marker genes,HBINH4,8,20,19,1,95.0
unique marker genes,ACBG,1412,59,4,55,6.78
unique marker genes,DEINH1,49,28,19,9,67.86
unique marker genes,VECV,763,98,9,89,9.18
unique marker genes,TEINH11,99,53,21,32,39.62
unique marker genes,OBNBL3,46,69,33,36,47.83
unique marker genes,ENTG5,238,58,15,43,25.86
unique marker genes,DEINH7,16,34,29,5,85.29
unique marker genes,OBNBL2,90,8,4,4,50.0
unique marker genes,HBGLU7,55,52,29,23,55.77
unique marker genes,CBNBL2,9,68,60,8,88.24
unique marker genes,TEINH8,35,36,25,11,69.44
unique marker genes,HBINH3,35,23,18,5,78.26
unique marker genes,MBDOP2,292,5,2,3,40.0
unique marker genes,ENTG1,161,71,21,50,29.58
unique marker genes,MEGLU14,170,19,6,13,31.58
unique marker genes,ACTE1,1358,117,16,101,13.68
unique marker genes,MSN1,265,59,7,52,11.86
unique marker genes,MEGLU2,20,20,18,2,90.0
unique marker genes,MEGLU8,14,8,7,1,87.5
unique marker genes,SCINH7,7,22,21,1,95.45
unique marker genes,CBINH1,57,65,30,35,46.15
unique marker genes,TEINH17,78,16,6,10,37.5
unique marker genes,SCGLU10,32,40,31,9,77.5
unique marker genes,HBGLU1,66,11,5,6,45.45
unique marker genes,TEGLU9,144,13,3,10,23.08
unique marker genes,HBGLU6,37,52,38,14,73.08
unique marker genes,DECHO1,29,18,15,3,83.33
unique marker genes,ENT5,11,28,26,2,92.86
unique marker genes,TEINH21,267,27,8,19,29.63
unique marker genes,MEGLU6,47,14,8,6,57.14
unique marker genes,DGNBL2,164,73,14,59,19.18
unique marker genes,MBCHO1,23,16,15,1,93.75
unique marker genes,NFOL2,470,30,4,26,13.33
unique marker genes,HYPEP1,51,19,14,5,73.68
unique marker genes,MOL1,406,147,38,109,25.85
unique marker genes,PER3,297,29,2,27,6.9
unique marker genes,CHOR,382,53,5,48,9.43
unique marker genes,PSNP3,32,67,46,21,68.66
unique marker genes,HBSER1,20,16,14,2,87.5
unique marker genes,HBINH8,63,69,41,28,59.42
unique marker genes,HBGLU2,23,17,12,5,70.59
unique marker genes,DEGLU1,105,101,46,55,45.54
unique marker genes,HBGLU5,69,14,7,7,50.0
unique marker genes,EPEN,485,98,10,88,10.2
unique marker genes,HBCHO3,43,37,25,12,67.57
unique marker genes,VECA,500,23,5,18,21.74
unique marker genes,TEGLU10,264,63,8,55,12.7
unique marker genes,MEINH6,18,19,17,2,89.47
unique marker genes,MEGLU1,25,23,15,8,65.22
unique marker genes,TEGLU19,89,16,8,8,50.0
unique marker genes,DECHO2,28,19,12,7,63.16
unique marker genes,TEINH2,12,37,30,7,81.08
unique marker genes,HBINH9,8,12,12,0,100.0
unique marker genes,SYNOR3,39,94,60,34,63.83
unique marker genes,TEINH16,59,37,20,17,54.05
unique marker genes,PSNF1,29,30,24,6,80.0
unique marker genes,ABC,307,17,1,16,5.88
unique marker genes,OBDOP2,34,23,12,11,52.17
unique marker genes,OPC,206,65,9,56,13.85
unique marker genes,TEGLU18,102,61,26,35,42.62
unique marker genes,MSN4,162,49,17,32,34.69
unique marker genes,MEGLU5,23,18,14,4,77.78
unique marker genes,ENTG3,66,75,44,31,58.67
unique marker genes,SYNOR4,57,62,36,26,58.06
unique marker genes,DEGLU4,20,13,9,4,69.23
unique marker genes,EPMB,147,47,13,34,27.66
unique marker genes,SZNBL,115,94,21,73,22.34
unique marker genes,ENTG7,60,48,33,15,68.75
unique marker genes,TEINH14,19,20,18,2,90.0
unique marker genes,PSPEP2,11,19,18,1,94.74
unique marker genes,SCGLU5,139,30,5,25,16.67
unique marker genes,PSNF3,79,37,20,17,54.05
unique marker genes,MEINH12,15,30,26,4,86.67
unique marker genes,ENT3,10,21,16,5,76.19
unique marker genes,TEGLU5,122,19,5,14,26.32
unique marker genes,RGDG,304,40,6,34,15.0
unique marker genes,COP1,400,73,8,65,10.96
unique marker genes,DEINH2,15,16,14,2,87.5
unique marker genes,MEINH3,15,20,17,3,85.0
unique marker genes,OBNBL5,28,55,37,18,67.27
unique marker genes,SCINH1,22,67,55,12,82.09
unique marker genes,HYPEP5,30,29,25,4,86.21
unique marker genes,TEINH12,54,26,12,14,46.15
unique marker genes,MEGLU7,13,10,9,1,90.0
unique marker genes,SCGLU6,35,23,18,5,78.26
unique marker genes,SCINH5,13,22,21,1,95.45
unique marker genes,SCINH11,36,46,36,10,78.26
unique marker genes,TEGLU7,690,108,14,94,12.96
unique marker genes,HBSER5,21,18,15,3,83.33
unique marker genes,SCGLU7,47,94,61,33,64.89
unique marker genes,CBGRC,27,184,156,28,84.78
unique marker genes,DEINH3,26,34,21,13,61.76
unique marker genes,DEINH5,8,20,20,0,100.0
unique marker genes,ACNT2,1257,109,11,98,10.09
