Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,MBDOP1,485,38,9,29,23.68
unique marker genes,SCINH3,40,31,27,4,87.1
unique marker genes,SCGLU8,172,93,30,63,32.26
unique marker genes,PSNF3,10,37,34,3,91.89
unique marker genes,SCGLU3,138,26,14,12,53.85
unique marker genes,OBNBL3,90,69,34,35,49.28
unique marker genes,CBNBL2,378,68,17,51,25.0
unique marker genes,EPEN,19,98,86,12,87.76
unique marker genes,SCINH1,58,67,50,17,74.63
unique marker genes,MEINH2,117,49,14,35,28.57
unique marker genes,MGL3,6,88,87,1,98.86
unique marker genes,TEINH16,253,37,8,29,21.62
unique marker genes,ACMB,205,39,11,28,28.21
unique marker genes,HBSER3,17,10,10,0,100.0
unique marker genes,TEINH12,22,26,20,6,76.92
unique marker genes,MBCHO1,408,16,0,16,0.0
unique marker genes,PSPEP2,13,19,17,2,89.47
unique marker genes,TEINH20,180,13,3,10,23.08
unique marker genes,OEC,169,98,39,59,39.8
unique marker genes,MFOL1,365,124,19,105,15.32
unique marker genes,VECA,242,23,8,15,34.78
unique marker genes,PSNP3,155,67,21,46,31.34
unique marker genes,DEINH4,342,19,3,16,15.79
unique marker genes,TEGLU23,824,34,1,33,2.94
unique marker genes,SYNOR1,17,36,30,6,83.33
unique marker genes,TEINH17,438,16,2,14,12.5
unique marker genes,ACTE1,138,117,45,72,38.46
unique marker genes,ABC,142,17,7,10,41.18
unique marker genes,MEGLU1,256,23,8,15,34.78
unique marker genes,PSPEP6,120,24,13,11,54.17
unique marker genes,MEINH5,140,18,7,11,38.89
unique marker genes,DGNBL2,73,73,37,36,50.68
unique marker genes,SATG2,165,62,24,38,38.71
unique marker genes,PVM2,41,54,39,15,72.22
unique marker genes,HBSER1,16,16,15,1,93.75
unique marker genes,DEGLU5,184,17,4,13,23.53
unique marker genes,HBINH6,557,15,1,14,6.67
unique marker genes,ENT3,33,21,18,3,85.71
unique marker genes,HBINH5,381,62,8,54,12.9
unique marker genes,MEINH10,198,54,11,43,20.37
unique marker genes,TEINH2,832,37,3,34,8.11
unique marker genes,MEGLU2,164,20,2,18,10.0
unique marker genes,NFOL2,21,30,27,3,90.0
unique marker genes,OBINH5,121,37,11,26,29.73
unique marker genes,HBGLU9,342,20,3,17,15.0
unique marker genes,HBGLU10,197,47,15,32,31.91
unique marker genes,MSN5,111,22,13,9,59.09
unique marker genes,HYPEP2,37,54,41,13,75.93
unique marker genes,MEINH4,38,7,5,2,71.43
unique marker genes,ENTG4,52,106,82,24,77.36
unique marker genes,SZNBL,39,94,64,30,68.09
unique marker genes,DEINH3,234,34,4,30,11.76
unique marker genes,HYPEP5,82,29,17,12,58.62
unique marker genes,SCGLU10,48,40,27,13,67.5
unique marker genes,OBINH3,62,44,25,19,56.82
unique marker genes,ENTG2,331,97,29,68,29.9
unique marker genes,HYPEP1,61,19,13,6,68.42
unique marker genes,SATG1,17,57,48,9,84.21
unique marker genes,TEINH18,245,29,6,23,20.69
unique marker genes,DEGLU4,146,13,5,8,38.46
unique marker genes,PSNP4,134,25,4,21,16.0
unique marker genes,VSMCA,174,86,39,47,45.35
unique marker genes,HBINH3,578,23,2,21,8.7
unique marker genes,TEGLU20,399,19,0,19,0.0
unique marker genes,PSPEP5,14,38,34,4,89.47
unique marker genes,SCINH7,22,22,19,3,86.36
unique marker genes,HBINH4,490,20,2,18,10.0
unique marker genes,PER3,79,29,20,9,68.97
unique marker genes,DEINH1,103,28,13,15,46.43
unique marker genes,PSPEP8,30,27,23,4,85.19
unique marker genes,DGGRC2,819,73,5,68,6.85
unique marker genes,SCINH5,66,22,16,6,72.73
unique marker genes,SCINH9,46,35,28,7,80.0
unique marker genes,PSNP5,47,27,23,4,85.19
unique marker genes,SCGLU7,105,94,50,44,53.19
unique marker genes,HBINH2,248,23,3,20,13.04
unique marker genes,DEINH7,267,34,12,22,35.29
unique marker genes,TEGLU9,428,13,1,12,7.69
unique marker genes,DECHO2,217,19,7,12,36.84
unique marker genes,CBGRC,139,184,78,106,42.39
unique marker genes,DEINH2,441,16,0,16,0.0
unique marker genes,ENMFB,80,23,17,6,73.91
unique marker genes,MEGLU11,71,12,9,3,75.0
unique marker genes,SCINH11,165,46,19,27,41.3
unique marker genes,TEINH21,154,27,11,16,40.74
unique marker genes,PSPEP4,21,21,20,1,95.24
unique marker genes,MBDOP2,513,5,0,5,0.0
unique marker genes,MEINH3,74,20,13,7,65.0
unique marker genes,HYPEP8,8,81,76,5,93.83
unique marker genes,CBNBL1,370,35,7,28,20.0
unique marker genes,MEINH1,194,100,33,67,33.0
unique marker genes,OBNBL2,271,8,1,7,12.5
unique marker genes,HBGLU6,87,52,21,31,40.38
unique marker genes,SCINH2,47,15,11,4,73.33
unique marker genes,MOL2,616,137,17,120,12.41
unique marker genes,TEGLU6,629,22,1,21,4.55
unique marker genes,TEGLU24,143,62,9,53,14.52
unique marker genes,TEINH14,257,20,1,19,5.0
unique marker genes,ACOB,212,43,9,34,20.93
unique marker genes,ENT8,13,18,18,0,100.0
unique marker genes,ENTG6,12,47,42,5,89.36
unique marker genes,MEGLU7,14,10,9,1,90.0
