Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,TEGLU17,102,53,18,35,33.96
unique marker genes,COP2,8,25,24,1,96.0
unique marker genes,MSN2,7,52,48,4,92.31
unique marker genes,SCINH11,33,46,36,10,78.26
unique marker genes,TEINH7,31,25,14,11,56.0
unique marker genes,CBNBL1,67,35,19,16,54.29
unique marker genes,SCINH5,7,22,22,0,100.0
unique marker genes,TEINH19,449,60,2,58,3.33
unique marker genes,MEINH9,74,17,10,7,58.82
unique marker genes,SCINH2,106,15,5,10,33.33
unique marker genes,OBINH2,50,59,39,20,66.1
unique marker genes,SCGLU7,6,94,90,4,95.74
unique marker genes,RGSZ,1459,61,9,52,14.75
unique marker genes,DEINH3,20,34,31,3,91.18
unique marker genes,TEINH14,77,20,9,11,45.0
unique marker genes,VLMC2,812,39,11,28,28.21
unique marker genes,CBINH1,62,65,24,41,36.92
unique marker genes,TEINH15,554,33,2,31,6.06
unique marker genes,DEINH1,1095,28,2,26,7.14
unique marker genes,MEINH10,156,54,22,32,40.74
unique marker genes,OBINH4,19,34,29,5,85.29
unique marker genes,TEINH18,520,29,2,27,6.9
unique marker genes,OBDOP1,163,30,7,23,23.33
unique marker genes,SCGLU5,530,30,1,29,3.33
unique marker genes,HBINH3,23,23,22,1,95.65
unique marker genes,DGGRC1,2059,45,9,36,20.0
unique marker genes,DECHO2,1414,19,0,19,0.0
unique marker genes,OBINH3,12,44,39,5,88.64
unique marker genes,MFOL2,17,83,73,10,87.95
unique marker genes,OBNBL5,267,55,5,50,9.09
unique marker genes,DEGLU1,9,101,92,9,91.09
unique marker genes,EPMB,346,47,13,34,27.66
unique marker genes,SCGLU9,268,38,8,30,21.05
unique marker genes,MEINH5,77,18,9,9,50.0
unique marker genes,ENT9,182,43,8,35,18.6
unique marker genes,MOL2,416,137,24,113,17.52
unique marker genes,TEGLU7,57,108,57,51,52.78
unique marker genes,OEC,429,98,14,84,14.29
unique marker genes,TEGLU1,1805,8,0,8,0.0
unique marker genes,VECA,13,23,18,5,78.26
unique marker genes,ABC,26,17,13,4,76.47
unique marker genes,TEINH16,140,37,11,26,29.73
unique marker genes,MSN1,81,59,29,30,49.15
unique marker genes,DETPH,187,136,49,87,36.03
unique marker genes,TEGLU11,629,76,12,64,15.79
unique marker genes,DECHO1,7,18,17,1,94.44
unique marker genes,MOL3,67,99,64,35,64.65
unique marker genes,MEINH4,12,7,7,0,100.0
unique marker genes,TEGLU18,38,61,37,24,60.66
unique marker genes,TEINH4,151,30,9,21,30.0
unique marker genes,TEINH5,49,23,11,12,47.83
unique marker genes,MEINH11,37,12,12,0,100.0
unique marker genes,SZNBL,1833,94,12,82,12.77
unique marker genes,DGNBL2,800,73,6,67,8.22
unique marker genes,TEGLU6,327,22,1,21,4.55
unique marker genes,HYPEP1,19,19,17,2,89.47
