Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,HBINH8,43,69,47,22,68.12
unique marker genes,SCGLU8,12,93,84,9,90.32
unique marker genes,SCINH11,111,46,15,31,32.61
unique marker genes,PSPEP4,204,21,5,16,23.81
unique marker genes,HBCHO1,36,82,62,20,75.61
unique marker genes,DEGLU1,160,101,23,78,22.77
unique marker genes,TEGLU2,269,15,1,14,6.67
unique marker genes,TEINH19,135,60,15,45,25.0
unique marker genes,VLMC1,117,46,23,23,50.0
unique marker genes,SEPNBL,130,22,9,13,40.91
unique marker genes,RGSZ,562,61,9,52,14.75
unique marker genes,TEINH15,219,33,6,27,18.18
unique marker genes,ENTG6,261,47,11,36,23.4
unique marker genes,ACMB,197,39,13,26,33.33
unique marker genes,HBADR,81,23,16,7,69.57
unique marker genes,TEINH6,251,23,3,20,13.04
unique marker genes,PSPEP5,111,38,21,17,55.26
unique marker genes,SCINH3,109,31,18,13,58.06
unique marker genes,DEINH3,287,34,7,27,20.59
unique marker genes,TEINH10,184,63,16,47,25.4
unique marker genes,TEINH18,305,29,3,26,10.34
unique marker genes,TEGLU1,345,8,1,7,12.5
unique marker genes,SCGLU2,264,25,11,14,44.0
unique marker genes,SYCHO2,39,36,23,13,63.89
unique marker genes,CR,144,19,10,9,52.63
unique marker genes,VECV,115,98,47,51,47.96
unique marker genes,TEGLU3,122,73,20,53,27.4
unique marker genes,NFOL1,168,92,34,58,36.96
unique marker genes,ACTE2,177,105,39,66,37.14
unique marker genes,MEINH9,291,17,3,14,17.65
unique marker genes,PVM2,156,54,20,34,37.04
unique marker genes,SYNOR1,234,36,9,27,25.0
unique marker genes,OBINH4,157,34,9,25,26.47
unique marker genes,OBNBL5,149,55,29,26,52.73
unique marker genes,TEGLU18,199,61,10,51,16.39
unique marker genes,SCGLU9,172,38,19,19,50.0
unique marker genes,DEINH1,272,28,4,24,14.29
unique marker genes,MEGLU4,246,10,5,5,50.0
unique marker genes,OBDOP1,136,30,13,17,43.33
unique marker genes,TEINH17,269,16,1,15,6.25
unique marker genes,HYPEP3,228,14,1,13,7.14
unique marker genes,TEGLU20,75,19,8,11,42.11
unique marker genes,HBCHO2,75,29,17,12,58.62
unique marker genes,SCINH10,176,28,8,20,28.57
unique marker genes,MFOL2,239,83,17,66,20.48
unique marker genes,TEGLU24,216,62,9,53,14.52
unique marker genes,DGNBL1,236,22,4,18,18.18
unique marker genes,TEINH3,129,22,7,15,31.82
unique marker genes,ENTG7,121,48,18,30,37.5
unique marker genes,OBINH1,395,26,6,20,23.08
unique marker genes,OBNBL1,198,13,4,9,30.77
unique marker genes,TEGLU16,100,12,2,10,16.67
unique marker genes,CBINH1,129,65,33,32,50.77
unique marker genes,RGDG,109,40,27,13,67.5
unique marker genes,OBDOP2,295,23,8,15,34.78
unique marker genes,SCINH8,178,35,14,21,40.0
unique marker genes,TEGLU6,555,22,4,18,18.18
unique marker genes,DECHO2,28,19,13,6,68.42
unique marker genes,MGL2,147,92,44,48,47.83
unique marker genes,ENT2,177,14,4,10,28.57
unique marker genes,MEGLU6,212,14,0,14,0.0
unique marker genes,TEGLU5,181,19,2,17,10.53
unique marker genes,SCGLU7,59,94,64,30,68.09
unique marker genes,HBGLU9,117,20,4,16,20.0
unique marker genes,SYNOR2,219,27,4,23,14.81
unique marker genes,MEINH3,227,20,3,17,15.0
unique marker genes,TEINH5,317,23,2,21,8.7
unique marker genes,DEINH2,225,16,3,13,18.75
unique marker genes,MEINH1,146,100,43,57,43.0
unique marker genes,TEGLU8,179,95,25,70,26.32
unique marker genes,MEINH5,129,18,10,8,55.56
unique marker genes,MSN3,172,48,18,30,37.5
unique marker genes,TEGLU23,268,34,2,32,5.88
unique marker genes,PSNP4,133,25,8,17,32.0
unique marker genes,HBSER5,156,18,3,15,16.67
unique marker genes,ACTE1,127,117,49,68,41.88
unique marker genes,COP2,321,25,4,21,16.0
unique marker genes,MEINH6,99,19,9,10,47.37
unique marker genes,HBNOR,70,71,43,28,60.56
unique marker genes,ENT4,175,25,4,21,16.0
unique marker genes,ENTG2,88,97,47,50,48.45
unique marker genes,PSNP5,231,27,5,22,18.52
unique marker genes,ENT1,23,50,38,12,76.0
unique marker genes,HBGLU1,137,11,2,9,18.18
unique marker genes,DEINH4,122,19,7,12,36.84
unique marker genes,PSNP2,257,28,6,22,21.43
unique marker genes,TEGLU12,291,15,2,13,13.33
unique marker genes,TEGLU10,290,63,8,55,12.7
unique marker genes,DGGRC1,442,45,5,40,11.11
unique marker genes,HBGLU5,156,14,3,11,21.43
unique marker genes,HBINH7,44,51,34,17,66.67
unique marker genes,CHOR,36,53,32,21,60.38
unique marker genes,OBINH5,164,37,12,25,32.43
unique marker genes,HYPEP8,72,81,50,31,61.73
unique marker genes,OBINH3,681,44,10,34,22.73
unique marker genes,TEGLU4,299,48,2,46,4.17
unique marker genes,CBNBL2,121,68,30,38,44.12
unique marker genes,DEINH7,198,34,13,21,38.24
unique marker genes,MBCHO1,196,16,8,8,50.0
unique marker genes,SCGLU6,294,23,5,18,21.74
unique marker genes,ENTG1,231,71,14,57,19.72
unique marker genes,TEGLU15,242,17,4,13,23.53
unique marker genes,MEGLU11,207,12,2,10,16.67
unique marker genes,MEINH10,78,54,33,21,61.11
unique marker genes,TEINH7,106,25,14,11,56.0
unique marker genes,PSNF2,105,38,15,23,39.47
unique marker genes,DEGLU2,232,57,6,51,10.53
unique marker genes,MEGLU7,301,10,0,10,0.0
unique marker genes,PSPEP3,210,20,6,14,30.0
unique marker genes,HBINH5,94,62,24,38,38.71
unique marker genes,HBGLU3,169,13,6,7,46.15
unique marker genes,PSNF1,83,30,15,15,50.0
unique marker genes,ENTG5,186,58,23,35,39.66
unique marker genes,MEINH2,215,49,11,38,22.45
unique marker genes,ACNT1,77,140,89,51,63.57
unique marker genes,DGGRC2,548,73,7,66,9.59
unique marker genes,HYPEP1,198,19,5,14,26.32
unique marker genes,MEGLU2,218,20,3,17,15.0
unique marker genes,SCGLU5,56,30,23,7,76.67
unique marker genes,MSN5,357,22,7,15,31.82
unique marker genes,MSN1,165,59,21,38,35.59
unique marker genes,HBCHO3,131,37,9,28,24.32
unique marker genes,TEINH21,187,27,12,15,44.44
unique marker genes,MSN4,49,49,33,16,67.35
unique marker genes,VECA,151,23,7,16,30.43
unique marker genes,ENT5,199,28,12,16,42.86
unique marker genes,HBGLU6,190,52,4,48,7.69
unique marker genes,PER3,287,29,6,23,20.69
unique marker genes,DEINH5,202,20,5,15,25.0
unique marker genes,ACNT2,176,109,34,75,31.19
unique marker genes,MEINH4,143,7,2,5,28.57
unique marker genes,SYNOR5,34,30,23,7,76.67
unique marker genes,HBINH1,29,124,90,34,72.58
unique marker genes,PSPEP6,156,24,6,18,25.0
unique marker genes,PSNF3,63,37,22,15,59.46
unique marker genes,SCGLU10,164,40,14,26,35.0
unique marker genes,SCHW,106,49,25,24,51.02
unique marker genes,TEINH12,229,26,3,23,11.54
unique marker genes,DECHO1,111,18,8,10,44.44
unique marker genes,TEGLU14,67,17,12,5,70.59
unique marker genes,EPSC,178,48,13,35,27.08
unique marker genes,PSNP6,106,78,26,52,33.33
unique marker genes,DEGLU4,205,13,5,8,38.46
unique marker genes,TEGLU22,330,44,9,35,20.45
unique marker genes,TEINH20,226,13,1,12,7.69
unique marker genes,PSNP1,89,42,21,21,50.0
unique marker genes,MBDOP2,188,5,0,5,0.0
unique marker genes,PSPEP7,134,21,10,11,47.62
unique marker genes,TEINH2,335,37,10,27,27.03
unique marker genes,SYNOR3,8,94,90,4,95.74
unique marker genes,SYCHO1,87,46,23,23,50.0
unique marker genes,ENT8,147,18,5,13,27.78
unique marker genes,HBSER1,129,16,11,5,68.75
unique marker genes,PVM1,91,94,55,39,58.51
unique marker genes,MEGLU3,178,15,5,10,33.33
unique marker genes,MOL3,238,99,27,72,27.27
unique marker genes,DETPH,30,136,103,33,75.74
unique marker genes,ENMFB,149,23,13,10,56.52
unique marker genes,TECHO,129,7,4,3,57.14
unique marker genes,CBNBL1,69,35,23,12,65.71
unique marker genes,MSN6,516,43,8,35,18.6
unique marker genes,MGL1,149,114,51,63,44.74
unique marker genes,TEGLU7,223,108,11,97,10.19
unique marker genes,DEGLU3,108,68,28,40,41.18
unique marker genes,ENTG4,11,106,97,9,91.51
unique marker genes,ACBG,212,59,13,46,22.03
unique marker genes,HBGLU4,23,92,69,23,75.0
unique marker genes,HBGLU7,227,52,6,46,11.54
unique marker genes,HYPEP7,12,74,68,6,91.89
unique marker genes,TEINH14,379,20,1,19,5.0
unique marker genes,MEGLU14,138,19,7,12,36.84
unique marker genes,MEGLU9,272,8,0,8,0.0
unique marker genes,MEINH12,114,30,18,12,60.0
unique marker genes,HBGLU8,24,48,42,6,87.5
unique marker genes,SZNBL,161,94,35,59,37.23
unique marker genes,SCINH7,103,22,9,13,40.91
unique marker genes,TEGLU9,271,13,1,12,7.69
unique marker genes,VLMC2,310,39,13,26,33.33
