Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,Unnamed,178,279,236,43,84.59
unique marker genes,Stroma 1,1821,124,33,91,26.61
unique marker genes,Early PT,1348,262,15,247,5.73
unique marker genes,DCT,2217,294,54,240,18.37
unique marker genes,LOH,6306,76,10,66,13.16
unique marker genes,PCT,1646,288,95,193,32.99
unique marker genes,PST,6290,689,293,396,42.53
unique marker genes,Stroma 2,2256,247,29,218,11.74
top 100 marker genes,Unnamed,178,86,56,30,65.12
top 100 marker genes,Stroma 1,1821,96,59,37,61.46
top 100 marker genes,Early PT,1348,99,59,40,59.6
top 100 marker genes,DCT,2217,95,91,4,95.79
top 100 marker genes,LOH,6306,95,89,6,93.68
top 100 marker genes,PCT,1646,98,92,6,93.88
top 100 marker genes,PST,6290,96,87,9,90.62
top 100 marker genes,Stroma 2,2256,99,46,53,46.46
