Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,Ext_L23,961,717,299,418,41.7
unique marker genes,Ext_Hpc_DG1,74,321,185,136,57.63
unique marker genes,Ext_Unk_3,307,421,117,304,27.79
unique marker genes,Inh_Sst,315,320,35,285,10.94
unique marker genes,Oligo_2,148,2170,856,1314,39.45
unique marker genes,Ext_Hpc_CA3,56,327,105,222,32.11
unique marker genes,Ext_L56,468,563,212,351,37.66
unique marker genes,Inh_Meis2_4,96,232,82,150,35.34
unique marker genes,Ext_Med,235,425,94,331,22.12
unique marker genes,Endo,73,1494,501,993,33.53
unique marker genes,Inh_6,206,368,128,240,34.78
unique marker genes,Oligo_1,835,579,330,249,56.99
unique marker genes,Ext_Thal_2,635,449,216,233,48.11
unique marker genes,Ext_Unk_1,10,345,151,194,43.77
unique marker genes,Ext_Thal_1,699,938,521,417,55.54
unique marker genes,Ext_ClauPyr,154,200,44,156,22.0
unique marker genes,OPC_2,336,364,109,255,29.95
unique marker genes,Astro_THAL_lat,208,476,163,313,34.24
unique marker genes,Astro_HYPO,192,437,161,276,36.84
unique marker genes,Astro_THAL_hab,136,1112,360,752,32.37
unique marker genes,Ext_Hpc_CA2,115,514,135,379,26.26
unique marker genes,Inh_Meis2_2,106,307,70,237,22.8
unique marker genes,Ext_L5_1,550,467,157,310,33.62
unique marker genes,Inh_4,308,1262,303,959,24.01
unique marker genes,LowQ_1,470,469,230,239,49.04
unique marker genes,Nb_1,26,389,144,245,37.02
unique marker genes,Unk_1,75,1544,667,877,43.2
unique marker genes,Ext_L5_3,152,202,42,160,20.79
unique marker genes,Inh_2,295,1125,224,901,19.91
unique marker genes,Ext_L5_2,301,220,77,143,35.0
unique marker genes,Ext_L6B,288,247,77,170,31.17
unique marker genes,Ext_Pir,901,674,270,404,40.06
unique marker genes,Astro_WM,298,426,184,242,43.19
unique marker genes,Inh_1,335,300,72,228,24.0
unique marker genes,Astro_HPC,45,425,166,259,39.06
unique marker genes,OPC_1,452,420,147,273,35.0
unique marker genes,Ext_Hpc_CA1,128,433,224,209,51.73
unique marker genes,Inh_Meis2_1,81,193,32,161,16.58
unique marker genes,Ext_Amy_1,228,439,195,244,44.42
