Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,OEC,23,100,73,27,73.0
unique marker genes,PER2,65,57,25,32,43.86
unique marker genes,DEGLU3,1018,70,3,67,4.29
unique marker genes,HBGLU10,27,48,37,11,77.08
unique marker genes,ENTG2,30,100,60,40,60.0
unique marker genes,PSPEP8,7,28,27,1,96.43
unique marker genes,ACOB,56,45,22,23,48.89
unique marker genes,VECC,42,58,39,19,67.24
unique marker genes,MEGLU5,12,19,15,4,78.95
unique marker genes,HYPEP2,45,56,43,13,76.79
unique marker genes,OBINH5,6,37,35,2,94.59
unique marker genes,TEGLU24,64,65,19,46,29.23
unique marker genes,HYPEN,58,37,18,19,48.65
unique marker genes,OBNBL3,6820,72,13,59,18.06
unique marker genes,PSPEP7,15,21,19,2,90.48
unique marker genes,PSNF3,6,37,31,6,83.78
unique marker genes,HBCHO1,23,82,69,13,84.15
unique marker genes,HBINH5,303,65,3,62,4.62
unique marker genes,SCINH11,18,46,42,4,91.3
unique marker genes,OBINH1,150,26,7,19,26.92
unique marker genes,HBINH6,18,15,11,4,73.33
unique marker genes,HBINH3,561,24,2,22,8.33
unique marker genes,ENT7,171,26,10,16,38.46
unique marker genes,HYPEP5,170,30,7,23,23.33
unique marker genes,CBNBL1,10,36,32,4,88.89
unique marker genes,PSNP3,9,70,66,4,94.29
unique marker genes,TEINH1,355,39,3,36,7.69
unique marker genes,ENTG4,35,109,69,40,63.3
unique marker genes,ENT6,295,24,8,16,33.33
unique marker genes,ENTG5,30,60,41,19,68.33
unique marker genes,ACNT2,65,111,30,81,27.03
unique marker genes,VSMCA,61,87,36,51,41.38
unique marker genes,SYNOR1,15,39,32,7,82.05
unique marker genes,MEINH7,22,27,20,7,74.07
unique marker genes,TEINH21,99,27,12,15,44.44
unique marker genes,COP2,9,26,25,1,96.15
unique marker genes,TEGLU13,10,20,17,3,85.0
unique marker genes,TEGLU19,96,16,3,13,18.75
unique marker genes,MEINH14,21,75,65,10,86.67
unique marker genes,DEINH7,29,37,27,10,72.97
unique marker genes,DGNBL1,2594,24,4,20,16.67
unique marker genes,MEGLU11,91,13,1,12,7.69
unique marker genes,ENT3,296,23,5,18,21.74
unique marker genes,MEINH4,122,8,3,5,37.5
unique marker genes,SZNBL,16076,96,48,48,50.0
unique marker genes,TEINH18,141,30,8,22,26.67
unique marker genes,TEGLU18,42,62,34,28,54.84
unique marker genes,ENT9,122,44,10,34,22.73
unique marker genes,PSNP1,6,45,42,3,93.33
unique marker genes,ACBG,23,61,48,13,78.69
unique marker genes,DECHO2,124,19,8,11,42.11
unique marker genes,VECV,25,102,86,16,84.31
unique marker genes,OBDOP1,24,30,20,10,66.67
unique marker genes,MEGLU3,28,15,11,4,73.33
unique marker genes,SCINH9,17,35,28,7,80.0
unique marker genes,OPC,2196,67,0,67,0.0
unique marker genes,PSPEP6,34,25,14,11,56.0
unique marker genes,TEGLU7,156,113,13,100,11.5
unique marker genes,HBSER5,25,20,15,5,75.0
unique marker genes,HYPEP3,146,14,2,12,14.29
unique marker genes,DEGLU5,153,17,1,16,5.88
unique marker genes,HBGLU9,11,21,16,5,76.19
unique marker genes,TEINH6,85,24,14,10,58.33
unique marker genes,CBINH1,78,67,37,30,55.22
unique marker genes,CBNBL2,1447,68,16,52,23.53
unique marker genes,PSNP6,10,83,75,8,90.36
unique marker genes,TEINH4,28,31,20,11,64.52
unique marker genes,SYNOR3,13,98,87,11,88.78
unique marker genes,MSN3,10,50,41,9,82.0
unique marker genes,TEINH16,16,38,32,6,84.21
unique marker genes,EPSC,211,48,5,43,10.42
unique marker genes,MEGLU8,105,9,3,6,33.33
unique marker genes,MEINH12,13,30,25,5,83.33
unique marker genes,ENMFB,395,23,1,22,4.35
unique marker genes,HYPEP6,76,33,14,19,42.42
unique marker genes,TEGLU22,20,46,30,16,65.22
unique marker genes,MEINH8,18,30,23,7,76.67
