Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,HBSER3,24,10,7,3,70.0
unique marker genes,DEINH2,19,16,13,3,81.25
unique marker genes,DECHO2,86,19,8,11,42.11
unique marker genes,HBSER1,53,17,9,8,52.94
unique marker genes,EPEN,1337,98,3,95,3.06
unique marker genes,DETPH,4511,141,16,125,11.35
unique marker genes,DEGLU2,106,58,17,41,29.31
unique marker genes,DEINH1,40,28,20,8,71.43
unique marker genes,TEGLU24,117,65,20,45,30.77
unique marker genes,ENT4,21,27,22,5,81.48
unique marker genes,MBDOP2,324,5,0,5,0.0
unique marker genes,ENT5,140,29,8,21,27.59
unique marker genes,ACOB,525,45,3,42,6.67
unique marker genes,HBGLU2,11,18,12,6,66.67
unique marker genes,SCGLU8,769,96,5,91,5.21
unique marker genes,TEGLU19,8,16,13,3,81.25
unique marker genes,PSNP1,85,45,22,23,48.89
unique marker genes,TEGLU10,64,64,19,45,29.69
unique marker genes,ENT6,80,24,12,12,50.0
unique marker genes,ENTG5,700,60,17,43,28.33
unique marker genes,TEGLU21,38,7,4,3,57.14
unique marker genes,HBGLU9,40,21,12,9,57.14
unique marker genes,SCINH1,455,70,4,66,5.71
unique marker genes,TEGLU13,76,20,9,11,45.0
unique marker genes,HBGLU7,52,55,28,27,50.91
unique marker genes,TEGLU7,7,113,106,7,93.81
unique marker genes,MGL2,209,96,22,74,22.92
unique marker genes,HBINH8,1313,71,2,69,2.82
unique marker genes,TEINH11,261,55,11,44,20.0
unique marker genes,HBCHO4,88,10,8,2,80.0
unique marker genes,PVM1,1335,96,6,90,6.25
unique marker genes,PER3,378,31,7,24,22.58
unique marker genes,MFOL2,147,85,19,66,22.35
unique marker genes,RGSZ,19,62,50,12,80.65
unique marker genes,ENTG3,30,77,59,18,76.62
unique marker genes,MOL1,62,152,91,61,59.87
unique marker genes,SCINH5,71,22,12,10,54.55
unique marker genes,SCHW,558,50,3,47,6.0
unique marker genes,TEGLU8,22,99,78,21,78.79
unique marker genes,ENTG6,19,49,41,8,83.67
unique marker genes,TEGLU14,258,17,3,14,17.65
unique marker genes,TEGLU1,19,9,7,2,77.78
unique marker genes,SYNOR5,7,32,30,2,93.75
unique marker genes,TEGLU2,43,15,8,7,53.33
unique marker genes,MEGLU6,77,15,6,9,40.0
unique marker genes,ACTE1,517,122,6,116,4.92
unique marker genes,SEPNBL,95,22,14,8,63.64
unique marker genes,TEINH19,129,60,17,43,28.33
unique marker genes,TEGLU18,138,62,12,50,19.35
unique marker genes,MEGLU5,22,19,18,1,94.74
unique marker genes,OBNBL3,515,72,5,67,6.94
unique marker genes,CHOR,366,56,10,46,17.86
unique marker genes,ENTG7,61,49,22,27,44.9
unique marker genes,MEGLU14,23,20,15,5,75.0
unique marker genes,VSMCA,1291,87,3,84,3.45
unique marker genes,NFOL1,145,95,27,68,28.42
unique marker genes,OEC,460,100,5,95,5.0
unique marker genes,HBSER2,54,27,14,13,51.85
unique marker genes,MEINH7,8,27,23,4,85.19
unique marker genes,TEGLU17,15,54,49,5,90.74
unique marker genes,TECHO,51,7,3,4,42.86
unique marker genes,PSNP6,918,83,12,71,14.46
unique marker genes,HBCHO2,192,30,6,24,20.0
unique marker genes,OPC,1080,67,22,45,32.84
unique marker genes,MSN2,150,53,18,35,33.96
unique marker genes,HBGLU5,70,15,7,8,46.67
unique marker genes,HBSER4,62,24,9,15,37.5
unique marker genes,HYPEP8,546,84,10,74,11.9
unique marker genes,HBCHO1,758,82,7,75,8.54
unique marker genes,MOL3,264,102,19,83,18.63
unique marker genes,MEINH5,13,19,18,1,94.74
unique marker genes,ENTG1,13,73,58,15,79.45
unique marker genes,PSNP2,18,29,26,3,89.66
unique marker genes,PSNP3,44,70,38,32,54.29
unique marker genes,PSPEP4,12,23,22,1,95.65
unique marker genes,TEINH20,18,13,9,4,69.23
unique marker genes,TEINH10,50,65,26,39,40.0
unique marker genes,PSPEP2,10,20,20,0,100.0
unique marker genes,COP1,210,75,17,58,22.67
unique marker genes,HBINH2,258,23,4,19,17.39
unique marker genes,SCINH6,82,22,10,12,45.45
unique marker genes,OBINH5,12,37,32,5,86.49
unique marker genes,SCGLU9,6,39,39,0,100.0
unique marker genes,ENMFB,521,23,3,20,13.04
unique marker genes,TEINH13,7,17,17,0,100.0
unique marker genes,PSNP5,28,29,23,6,79.31
unique marker genes,ENT9,183,44,8,36,18.18
unique marker genes,SZNBL,683,96,7,89,7.29
unique marker genes,TEGLU12,64,16,6,10,37.5
unique marker genes,HBGLU1,728,11,2,9,18.18
unique marker genes,TEGLU22,11,46,43,3,93.48
unique marker genes,VECC,440,58,7,51,12.07
unique marker genes,VLMC2,1463,39,1,38,2.56
unique marker genes,ENT3,37,23,14,9,60.87
unique marker genes,SATG2,287,65,6,59,9.23
unique marker genes,EPSC,721,48,5,43,10.42
unique marker genes,SCINH7,59,22,11,11,50.0
unique marker genes,MOL2,156,142,39,103,27.46
unique marker genes,PSNF1,30,30,21,9,70.0
unique marker genes,ACBG,1186,61,0,61,0.0
unique marker genes,TEINH16,38,38,34,4,89.47
unique marker genes,DECHO1,51,18,11,7,61.11
unique marker genes,HBGLU6,58,55,21,34,38.18
unique marker genes,VECA,1175,23,0,23,0.0
unique marker genes,HYPEP5,47,30,17,13,56.67
unique marker genes,PSNF3,54,37,26,11,70.27
unique marker genes,MEINH13,84,7,4,3,57.14
unique marker genes,TEGLU11,10,80,64,16,80.0
unique marker genes,ENT1,296,51,4,47,7.84
unique marker genes,OBNBL2,377,8,0,8,0.0
unique marker genes,SCGLU5,32,30,21,9,70.0
unique marker genes,ACMB,261,39,5,34,12.82
unique marker genes,HYPEP2,14,56,49,7,87.5
unique marker genes,HBNOR,541,73,8,65,10.96
unique marker genes,ACNT1,898,143,8,135,5.59
unique marker genes,VLMC1,517,47,6,41,12.77
unique marker genes,OBNBL5,10,57,50,7,87.72
unique marker genes,SCGLU10,16,41,34,7,82.93
unique marker genes,ENTG2,59,100,51,49,51.0
unique marker genes,HYPEN,1265,37,5,32,13.51
unique marker genes,TEGLU15,19,18,13,5,72.22
unique marker genes,ABC,543,17,1,16,5.88
unique marker genes,HBINH1,3867,128,9,119,7.03
unique marker genes,HBINH6,127,15,4,11,26.67
unique marker genes,PER1,406,108,9,99,8.33
unique marker genes,MEINH14,60,75,46,29,61.33
unique marker genes,COP2,146,26,9,17,34.62
unique marker genes,PSPEP1,11,30,27,3,90.0
unique marker genes,MEINH11,9,12,10,2,83.33
unique marker genes,HYPEP6,94,33,12,21,36.36
unique marker genes,HBADR,151,24,9,15,37.5
unique marker genes,EPMB,461,49,4,45,8.16
unique marker genes,OBNBL1,189,14,2,12,14.29
unique marker genes,TEGLU4,261,50,5,45,10.0
unique marker genes,ENT7,109,26,12,14,46.15
unique marker genes,DEINH6,4621,132,0,132,0.0
unique marker genes,DEGLU3,186,70,10,60,14.29
unique marker genes,DEINH4,6,19,18,1,94.74
unique marker genes,HBINH5,72,65,24,41,36.92
unique marker genes,PSNP4,17,26,19,7,73.08
unique marker genes,TEINH12,101,29,7,22,24.14
unique marker genes,ENTG4,333,109,16,93,14.68
unique marker genes,ENT8,43,20,8,12,40.0
unique marker genes,HYPEP4,10,25,24,1,96.0
unique marker genes,DEGLU1,758,104,7,97,6.73
unique marker genes,DEGLU4,157,13,3,10,23.08
unique marker genes,NFOL2,713,30,2,28,6.67
unique marker genes,PSPEP8,17,28,22,6,78.57
unique marker genes,SATG1,598,60,4,56,6.67
unique marker genes,TEINH18,20,30,24,6,80.0
unique marker genes,VECV,896,102,10,92,9.8
unique marker genes,HBCHO3,36,37,16,21,43.24
unique marker genes,TEGLU20,54,19,10,9,52.63
unique marker genes,MGL3,487,92,11,81,11.96
unique marker genes,MEINH10,131,58,18,40,31.03
unique marker genes,TEGLU3,44,73,38,35,52.05
unique marker genes,HYPEP1,17,19,15,4,78.95
