Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,OBINH3,123,46,22,24,47.83
unique marker genes,OBINH1,173,26,4,22,15.38
unique marker genes,HYPEP4,538,25,6,19,24.0
unique marker genes,TEGLU6,49,22,6,16,27.27
unique marker genes,DEINH4,66,19,7,12,36.84
unique marker genes,SCINH6,121,22,5,17,22.73
unique marker genes,HBGLU5,63,15,6,9,40.0
unique marker genes,OEC,2129,100,11,89,11.0
unique marker genes,TEGLU14,6,17,15,2,88.24
unique marker genes,HBSER2,88,27,10,17,37.04
unique marker genes,HBSER5,91,20,8,12,40.0
unique marker genes,COP2,8,26,24,2,92.31
unique marker genes,SZNBL,3148,96,54,42,56.25
unique marker genes,TEINH12,233,29,6,23,20.69
unique marker genes,SCINH10,24,30,22,8,73.33
unique marker genes,TEINH11,40,55,31,24,56.36
unique marker genes,PSPEP4,51,23,10,13,43.48
unique marker genes,HBINH7,13,52,45,7,86.54
unique marker genes,SCHW,8,50,46,4,92.0
unique marker genes,HBGLU6,6,55,51,4,92.73
unique marker genes,HYPEP2,56,56,32,24,57.14
unique marker genes,DECHO2,883,19,3,16,15.79
unique marker genes,MEGLU3,211,15,3,12,20.0
unique marker genes,SYNOR5,10,32,28,4,87.5
unique marker genes,TEGLU11,103,80,21,59,26.25
unique marker genes,SCGLU6,43,24,14,10,58.33
unique marker genes,SCINH7,105,22,5,17,22.73
unique marker genes,ENTG4,58,109,43,66,39.45
unique marker genes,TEINH3,166,23,3,20,13.04
unique marker genes,MEINH2,50,51,24,27,47.06
unique marker genes,ACTE2,18,109,84,25,77.06
unique marker genes,MEINH11,209,12,3,9,25.0
unique marker genes,PSPEP7,119,21,7,14,33.33
unique marker genes,DECHO1,569,18,3,15,16.67
unique marker genes,SCGLU7,50,95,50,45,52.63
unique marker genes,MEGLU6,398,15,2,13,13.33
unique marker genes,MSN1,66,59,28,31,47.46
unique marker genes,EPEN,129,98,13,85,13.27
unique marker genes,MGL1,51,117,41,76,35.04
unique marker genes,MSN2,44,53,27,26,50.94
unique marker genes,OBNBL1,1765,14,2,12,14.29
unique marker genes,DEINH5,34,20,16,4,80.0
unique marker genes,ENTG5,76,60,22,38,36.67
unique marker genes,SCINH2,24,17,10,7,58.82
unique marker genes,MSN5,112,23,10,13,43.48
unique marker genes,CBNBL1,818,36,2,34,5.56
unique marker genes,ENTG1,1257,73,13,60,17.81
unique marker genes,TEGLU23,994,34,3,31,8.82
unique marker genes,DEINH8,1480,29,2,27,6.9
unique marker genes,SCGLU2,84,26,11,15,42.31
unique marker genes,DEINH2,74,16,6,10,37.5
unique marker genes,MEGLU11,56,13,3,10,23.08
unique marker genes,HBINH8,18,71,64,7,90.14
unique marker genes,OBINH4,15,34,29,5,85.29
unique marker genes,CBNBL2,411,68,3,65,4.41
unique marker genes,HYPEP3,53,14,11,3,78.57
unique marker genes,TEGLU8,23,99,78,21,78.79
unique marker genes,TEINH5,67,24,8,16,33.33
unique marker genes,TEGLU24,80,65,27,38,41.54
unique marker genes,HYPEP5,1988,30,0,30,0.0
unique marker genes,TEINH10,19,65,50,15,76.92
unique marker genes,MEINH12,61,30,21,9,70.0
unique marker genes,HBSER1,120,17,8,9,47.06
unique marker genes,TEINH17,9,18,15,3,83.33
unique marker genes,PER1,87,108,29,79,26.85
unique marker genes,HBGLU1,235,11,3,8,27.27
unique marker genes,HYPEP6,357,33,6,27,18.18
unique marker genes,SATG1,481,60,6,54,10.0
unique marker genes,MBDOP2,664,5,1,4,20.0
unique marker genes,ENTG3,37,77,39,38,50.65
unique marker genes,HBINH1,306,128,13,115,10.16
unique marker genes,MOL2,80,142,45,97,31.69
unique marker genes,SCINH8,25,35,24,11,68.57
unique marker genes,ENMFB,302,23,6,17,26.09
unique marker genes,TEINH14,23,21,15,6,71.43
unique marker genes,OBNBL3,826,72,3,69,4.17
unique marker genes,MEGLU5,134,19,8,11,42.11
unique marker genes,ACNT1,13,143,115,28,80.42
unique marker genes,HBGLU7,124,55,16,39,29.09
unique marker genes,HBGLU3,399,13,2,11,15.38
unique marker genes,OBNBL5,92,57,21,36,36.84
unique marker genes,VECC,126,58,12,46,20.69
unique marker genes,TEINH8,61,36,19,17,52.78
unique marker genes,MEGLU9,1094,8,1,7,12.5
unique marker genes,HBSER4,72,24,15,9,62.5
unique marker genes,SYCHO2,556,41,4,37,9.76
unique marker genes,COP1,39,75,35,40,46.67
unique marker genes,PSPEP8,48,28,16,12,57.14
unique marker genes,MEINH7,14,27,23,4,85.19
unique marker genes,ENT9,129,44,10,34,22.73
unique marker genes,MSN3,38,50,33,17,66.0
unique marker genes,MEINH5,14,19,14,5,73.68
unique marker genes,MEINH4,288,8,1,7,12.5
unique marker genes,PSNP3,27,70,53,17,75.71
unique marker genes,SCGLU1,122,44,17,27,38.64
unique marker genes,DEGLU5,354,17,2,15,11.76
unique marker genes,TEGLU1,8,9,8,1,88.89
unique marker genes,DEGLU4,1261,13,1,12,7.69
unique marker genes,HBADR,123,24,9,15,37.5
unique marker genes,TEGLU5,49,19,7,12,36.84
unique marker genes,VECA,181,23,3,20,13.04
unique marker genes,EPMB,106,49,12,37,24.49
unique marker genes,SCINH4,35,54,35,19,64.81
unique marker genes,TEINH9,112,27,6,21,22.22
unique marker genes,MEGLU4,188,11,3,8,27.27
unique marker genes,HBGLU2,417,18,0,18,0.0
unique marker genes,DGNBL2,4086,76,21,55,27.63
unique marker genes,MOL1,14,152,122,30,80.26
unique marker genes,SATG2,2075,65,5,60,7.69
unique marker genes,VLMC1,49,47,27,20,57.45
unique marker genes,ACBG,288,61,4,57,6.56
unique marker genes,SCGLU4,31,21,12,9,57.14
unique marker genes,TEINH18,21,30,23,7,76.67
unique marker genes,MEGLU1,40,24,17,7,70.83
unique marker genes,PSPEP5,24,40,31,9,77.5
unique marker genes,PSNP1,323,45,4,41,8.89
unique marker genes,DEGLU1,167,104,25,79,24.04
unique marker genes,CBGRC,194,190,18,172,9.47
unique marker genes,PSNF2,312,39,4,35,10.26
unique marker genes,PVM2,50,55,14,41,25.45
unique marker genes,PSNF1,74,30,15,15,50.0
unique marker genes,HBSER3,66,10,7,3,70.0
unique marker genes,TEINH16,213,38,6,32,15.79
