Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,DEINH3,426,35,4,31,11.43
unique marker genes,RGSZ,725,62,7,55,11.29
unique marker genes,SCGLU2,197,26,9,17,34.62
unique marker genes,DEGLU5,483,17,1,16,5.88
unique marker genes,ACTE2,140,109,24,85,22.02
unique marker genes,TEGLU2,315,15,0,15,0.0
unique marker genes,EPEN,58,98,41,57,41.84
unique marker genes,SZNBL,400,96,14,82,14.58
unique marker genes,HBSER1,210,17,1,16,5.88
unique marker genes,HBINH7,100,52,18,34,34.62
unique marker genes,OBNBL5,223,57,6,51,10.53
unique marker genes,TEINH9,357,27,0,27,0.0
unique marker genes,SCGLU1,170,44,12,32,27.27
unique marker genes,OBINH5,150,37,8,29,21.62
unique marker genes,VECA,260,23,1,22,4.35
unique marker genes,TEGLU8,60,99,45,54,45.45
unique marker genes,HYPEP4,335,25,6,19,24.0
unique marker genes,PSNP1,54,45,23,22,51.11
unique marker genes,ENT2,267,14,1,13,7.14
unique marker genes,HBGLU9,231,21,2,19,9.52
unique marker genes,MEGLU4,315,11,1,10,9.09
unique marker genes,MEINH9,278,18,7,11,38.89
unique marker genes,DEINH5,323,20,1,19,5.0
unique marker genes,HYPEP8,102,84,22,62,26.19
unique marker genes,MEINH13,175,7,2,5,28.57
unique marker genes,OPC,262,67,4,63,5.97
unique marker genes,HYPEP5,96,30,9,21,30.0
unique marker genes,MSN2,180,53,12,41,22.64
unique marker genes,HBINH6,247,15,0,15,0.0
unique marker genes,TEGLU20,141,19,6,13,31.58
unique marker genes,PSNP5,254,29,2,27,6.9
unique marker genes,CBINH1,262,67,19,48,28.36
unique marker genes,ENT6,236,24,4,20,16.67
unique marker genes,HBGLU6,297,55,2,53,3.64
unique marker genes,HBGLU5,309,15,1,14,6.67
unique marker genes,TEINH18,340,30,7,23,23.33
unique marker genes,MSN3,146,50,11,39,22.0
unique marker genes,MEGLU8,401,9,2,7,22.22
